用户名,粉丝数量,视频描述,视频id,发表时间,视频时长,点赞数量,收藏数量,评论数量,分享数量,下载数量
我是夏目蓝,1291,bro试图让老年机也看上哪吒2☠️☠️☠️#哪吒 #魔丸,7535450961416195362,2025.08.06,00:00,19436,1349,3992,19144,0
游戏资讯君,12087,哪吒2之压片战争！ #哪吒2 #哪吒之魔童闹海 #哪吒之魔童降世,7535844838899944742,2025.08.07,00:35,45410,1754,4868,65185,0
美女也会ᵉᵐᵒ,664,《哪吒2》无删减完整版抢先看。#国产动漫 #哪吒2 #新片推荐,7536042108642233650,2025.08.08,00:00,0,0,1,0,0
扫楼出来,3056,《哪吒2》未删减版来了#哪吒之魔童降世 #电影推荐,7535858464641453352,2025.08.07,00:00,1,0,1,0,0
有点坏了你,327,逆天。#哪吒2 #猎奇 #我不行了,7535766564021783866,2025.08.07,00:00,119,11,29,212,0
电影哪吒之魔童闹海,11660291,果然看哪吒还是得配合弹幕食用 #电影哪吒之魔童闹海 #哪吒2全网上线,7535738326960180532,2025.08.08,00:26,13315,1072,656,1041,0
慢愿.,101537,事实证明东海有自己的温实初#哪吒2 #哪吒之魔童闹海 #敖丙 #反差,7535741373028240697,2025.08.07,00:00,0,0,0,0,0
草莓剧场,2603,#国漫 #电影推荐 #哪吒之魔童闹海 #哪吒2捕妖队有多少人,7535346465158565161,2025.08.06,00:48,49795,2126,463,6425,0
剪辑刘一手,834228,申公豹点头那一刻，敖光：整条龙气都顺了 #哪吒2 #哪吒之魔童闹海,7535789358247464238,2025.08.07,00:41,11626,849,87,3685,6
黑酱不黑,18567,现在不开会员真看不了剧了。感觉720P也不如以前高清了#动漫 #国产动画 #哪吒2 #数码科技 #哪吒2之魔童闹海,7535707762065116425,2025.08.07,00:00,3,1,0,0,0
林九.,16359,元始天尊出关天塌了：谁把我大胖小子三花聚顶搞没了 #哪吒2 #哪吒之魔童闹海 #太乙真人,7535751168786795835,2025.08.07,00:00,1,0,0,0,0
𝙘𝙖𝙏𝙏𝙤𝙞𝙞𝙣.,35315,元始天尊出关天塌了：谁把我大胖小子三花聚顶搞没了 #哪吒2 #哪吒之魔童闹海 #太乙真人,7535748335975861519,2025.08.07,00:00,74,18,3,4,0
鹅厂种草姬,376442,根本想象不出元始天尊会被一个凡人吸干法力 #哪吒2 #哪吒之魔童闹海 #元始天尊,7535741405679930639,2025.08.07,00:35,4336,608,572,108,1
柯小溪,4334,#哪吒2之魔童闹海 #动漫 #国产动漫 #国产动画 #动画电影,7535996728216390921,2025.08.08,00:00,10,1,24,0,0
凌晨心事.,36525,一部哪吒2给老师们提供了无数考点！ #哪吒之魔童闹海 #哪吒2 #饺子导演 #科普,7535353479503056188,2025.08.06,00:00,313,98,11,68,0
马哥来了,331287,《哪吒2》魔童闹海 #了不起的精讲团 #影视经典补完计划 #抖音精选 #哪吒2,7535031041661160738,2025.08.05,28:04,18046,3953,1128,3473,0
九狸电影,730329,《哪吒2》深度解析：这些细节暴露了现代人最大的痛点 #动漫推荐 #哪吒之魔童闹海,7535737560543317286,2025.08.07,01:36,61,7,3,0,0
笑笑追剧,1295,观看完整正片#哪吒2 #哪吒之魔童闹海 #因为一个片段看了整部剧 #我的观影报告,7535903860997737782,2025.08.08,02:18,1,1,0,0,0
电影罗小黑战记2,1021776,这就是哪吒！#罗小黑战记2,7533894926934789435,2025.08.02,00:00,25450,2454,508,506,0
随记小念,368,#哪吒2,7535849479322307866,2025.08.07,00:00,20,0,1,0,0
帅修勾,1069,#将军 #哪吒2 #坏了,7535827369782086954,2025.08.07,00:00,4,0,0,0,0
高清解说家,359017,三大龙王屠戮陈塘关时，敖光为什么不知道？ #哪吒2之魔童闹海,7535725674280095015,2025.08.07,01:34,1697,526,45,22,0
电影哪吒之魔童闹海,11660290,海妖们也想知道一共有多少族人，有人能帮帮它们吗？ #电影哪吒之魔童闹海 #哪吒2全网上线,7535323635293097251,2025.08.06,00:10,87784,3131,5952,1091,19
自由,28,哪吒2，搞燃纯享版#国产动画 #国漫 #哪吒2之魔童闹海,7536043821356862778,2025.08.08,32:30,7,4,0,2,0
鹅厂种草姬,376442,不得不说，爷爷老敖真的挺会玩的 #哪吒2 #哪吒之魔童闹海  #哪吒  #敖光  #敖丙,7535423963296468258,2025.08.06,00:30,23198,1482,280,4022,0
丫丫影视,702,#哪吒2#精彩片段分享,7535717722266701113,2025.08.07,02:57,340,311,21,23,0
抖音都二臂,247,101刷#哪吒2 #爱国,7535427571611159871,2025.08.06,00:10,31765,1178,3243,70211,481
Ꮤ.,66,想起来花了98也没看着的大乌龙，等了半年才看到#哪吒2 ,7535833391499136310,2025.08.07,00:00,12,0,2,0,0
孤酱⚡️（国服司空震）,672600,“妈妈总是对我说 魔丸一共有两颗”#哪吒2 #魔丸 #妈妈总是对我说 #孤酱#猎奇,7535777071039155514,2025.08.07,00:18,8098,387,627,14526,36
仕爷影视,25,别说哪吒丑了都自啤了#电影 #哪吒之魔童闹海 #哪吒2 #热门 #动画电影,7535759408135933227,2025.08.07,01:47,127,74,10,9,0
影侦探,1658,哪吒2 #一个片段看完一整部电影#名场面#精彩片段持续更新中#国漫崛起,7535449343025777935,2025.08.06,02:29,857,561,16,218,5
悟空空,9604,#哪吒之魔童闹海 #哪吒2 #左下角看全集,7536044651133734203,2025.08.08,01:49,3,1,1,0,0
陈平安.,51825,一部哪吒2给老师们提供了无数考点！ #哪吒之魔童闹海 #哪吒2 #饺子导演 #科普,7535010839154724154,2025.08.05,00:00,536,152,13,120,0
最上川下山,366634,我算出了《哪吒2》捕妖队有多少人？ #哪吒 #哪吒之魔童闹海 #魔童闹海,7534015951101037870,2025.08.02,02:29,565528,40617,33330,234422,684
林政豪之角色发战,3364,#哪吒2打破国漫天花板,7536013279329291577,2025.08.08,00:00,5,2,0,0,0
丫丫影视,702,#哪吒2#精彩片段分享,7535745744637939004,2025.08.07,02:59,106,25,5,1,0
等风热吻我,27284,一部哪吒2给老师们提供了无数考点！ #哪吒之魔童闹海 #哪吒2 #饺子导演 #科普,7535365167505362236,2025.08.06,00:00,5,1,1,0,0
丫丫影视,702,#哪吒2#精彩片段分享,7535746862302891322,2025.08.07,02:57,48,19,7,4,0
沈玥.,11438,元始天尊出关天塌了：谁把我大胖小子三花聚顶搞没了 #哪吒2 #哪吒之魔童闹海 #太乙真人,7535748026024955171,2025.08.07,00:00,2,0,0,0,0
无忧影视,518,哪吒2纯享版#精彩片段 #上热门视频话题9000亿播放 #哪吒2 #哪吒 #我要上热门🔥,7535848393147567417,2025.08.07,02:56,4,3,0,0,0
LQY,1021,#国产动画 #哪吒2之魔童闹海 #,7536018941887565091,2025.08.08,00:00,2,0,0,0,0
小熊收机,32947,客观看，鬼灭之刃和哪吒2哪个更有实力。#鬼灭之刃 #鬼灭之刃无限城篇 #哪吒2 #国漫 #国产动漫,7535739511595863356,2025.08.07,00:00,3,0,1,1,0
丫丫影视,702,#哪吒2#精彩片段分享,7535745181905014073,2025.08.07,02:57,50,17,6,1,0
丫丫影视,702,#哪吒2#精彩片段分享,7535745433168448827,2025.08.07,02:59,51,13,9,9,0
钱来影库,2304,#哪吒2之魔童闹海 #电影推荐 #点击左下角看完整版,7535775238869568826,2025.08.07,02:15,5,3,0,0,0
高清解说家,359017,无量仙翁为什么会变成反派？那么这条木龙又是谁变的？ #哪吒2之魔童闹海,7535456320372116799,2025.08.06,02:15,3116,1006,214,107,3
鹅厂种草姬,376442,愚蠢的弟弟 滚烫的家 急躁的大哥和破碎的他#哪吒2 #哪吒之魔童闹海 #敖顺 #敖光,7535810363191872820,2025.08.07,00:44,3241,600,18,538,0
Duang◎piangO_o♉,992,#超燃动漫  哪吒2看了七遍，觉得申公豹太憋屈了😒😂😓但是有忠诚，孝顺，义气，担当😳枷锁很难解脱,7536042606460079410,2025.08.08,00:00,5,0,0,0,0
怀旧经典动漫,385,#哪吒2之魔童闹海 #看最幼稚的动画明白最深的道理 #也太可爱了吧 #动画片 #国产动漫,7535872959644208435,2025.08.07,03:00,2,2,0,0,0
丫丫影视,702,#哪吒2#精彩片段分享,7535746620941897018,2025.08.07,02:57,46,19,3,1,0
丫丫影视,702,#哪吒2#精彩片段分享,7535746075078380859,2025.08.07,02:58,47,22,3,1,0
奥利动画,601,#3到6岁儿童益智早教动画 #儿童益智 #儿童动画 #亲子互动 #哪吒2,7535870065159572794,2025.08.08,00:00,24,8,0,0,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535709888140430644,2025.08.07,02:00,3,3,0,2,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535709478495259904,2025.08.07,02:00,2,2,0,1,0
无忧影视,518,哪吒2纯享版#创作者扶持计划 #精彩片段 #感谢平台助推上热门 #超燃动漫 #哪吒之魔童降世,7536045902533266748,2025.08.08,02:56,3,3,0,0,0
鹅厂种草姬,376442,事实证明东海有自己的温实初#哪吒2 #哪吒之魔童闹海 #敖丙 #反差,7535071055505919232,2025.08.05,00:33,21284,1374,820,3348,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535706019222080768,2025.08.07,02:00,1,3,0,2,0
丫丫影视,703,#哪吒2#精选好剧分享,7535357007634140454,2025.08.06,02:53,396,407,17,59,0
丫丫影视,703,#哪吒2#精彩片段分享,7535742130242538812,2025.08.07,02:58,107,43,3,9,0
tong,58,宝子你继续🤗#哪吒2 #伊之助 #鬼灭之刃#嘴平伊之助,7535832181354007850,2025.08.07,00:00,9,0,5,5,0
羽儿嘟嘟,3834,观看完整正片#哪吒2#好剧推荐 #因为一个片段看了整部剧 #我的观影报告 #影视解说,7536031046397103387,2025.08.08,02:00,17,5,0,0,0
丫丫影视,703,#哪吒2#精彩片段分享,7535746312492502329,2025.08.07,02:59,44,20,8,1,0
瑶，瑶，,115,我又重新看了一遍哪吒2，为什么哪吒长大了头发很乱，是因为没有娘亲扎丸子头了。太刀了😭，哪吒娘说：娘从来没在乎过你是魔是仙，娘只在乎你是娘的儿,7535785478885575977,2025.08.07,00:00,6,0,0,0,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535731774102555944,2025.08.07,02:00,4,4,1,1,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535711778370571560,2025.08.07,02:00,6,4,0,1,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535704402573774115,2025.08.07,02:00,4,5,0,1,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535699640612670754,2025.08.07,02:00,3,2,0,1,0
安柯✨影视剪辑,1127,#国漫 #动漫 #哪吒2,7535693379054964028,2025.08.07,02:24,50,1,0,2,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535708083293588776,2025.08.07,02:00,2,2,0,1,0
꒰ঌ小宁影视໒꒱,120,#精彩片段 哪吒2,7535838201954782505,2025.08.07,02:34,52,1,0,5,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535710668855495970,2025.08.07,02:00,3,2,0,1,0
马哥来了,331288,2部《哪吒》一次看完 #了不起的精讲团 #影视经典补完计划 #抖音精选 #哪吒2,7535133815946087732,2025.08.06,44:06,2718,1164,94,291,0
胡律师看法,355463,《哪吒2》票房高，都是靠营销？#抖来学法 #律师 #哪吒2 #票房 #营销,7535806419447385354,2025.08.07,09:21,2488,88,250,47,0
ᝰꫛꫀꪝ.🏸,706,#申公豹 #哪吒2 #搞笑 #梗图 #音乐,7535813127129337145,2025.08.07,00:00,63,3,1,10,0
影侦探,1658,哪吒2 #一个片段看完一整部电影#名场面#精彩片段持续更新中#国漫崛起,7535459215226211599,2025.08.06,02:29,176,66,7,11,0
影侦探,1658,哪吒2 #一个片段看完一整部电影#名场面#精彩片段持续更新中#国漫崛起,7535450105025989903,2025.08.06,02:29,126,78,12,10,0
IAA虾饺,240225,逐帧看一遍哪吒2，这18个细节你发现了吗？#哪吒2之魔童闹海 #哪吒2 #彩蛋 #细节,7535262300699249978,2025.08.06,05:09,1459,556,46,41,0
清黎电影,68099,哪吒名字的由来和真实身份，电影哪吒2《哪吒之魔童闹海》 ,7535845468606041396,2025.08.08,02:58,40,43,3,2,0
悟空空,9604,#哪吒之魔童闹海 #哪吒2 #左下角看全集,7535741717758463292,2025.08.07,02:00,2,1,0,0,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535740851654315299,2025.08.07,01:50,14,13,1,5,1
小慕电影,115,《哪吒2》凭什么是中国影史票房第一？ #快嘴唠唠片  #哪吒2魔童闹海  #年味观影指南 #国产动画 #上热搜,7535572811977592122,2025.08.07,07:40,1336,135,93,121,0
我一直很痛苦,277,这就是小羊崽的dpi的神力吗😋。#哪吒闹海 #哪吒2 #唐 #瓦罗兰特 #神,7535722574401490235,2025.08.07,00:00,83,3,15,38,0
钱来影库,2304,泪目了，娘不能陪你长大了，今后的路你要自己走！#哪吒2之魔童闹海 #电影推荐 #点击左下角看完整版,7535817605094067514,2025.08.07,02:24,2,0,0,0,0
丫丫影视,703,#哪吒2#精彩片段分享,7535747005965307196,2025.08.07,01:38,65,24,6,0,0
钱来影库,2304,#哪吒2之魔童闹海 #电影推荐 #我的观影报告,7535709098647784750,2025.08.07,02:09,118,102,9,0,0
ㅤㅤ ㅤㅤㅤ,281,#哪吒 #哪吒2之魔童闹海,7535443678392519978,2025.08.06,00:00,30,2,29,254,0
愛麦克斯,1494,#哪吒2北美版角色海报#国产动画电影哪吒,7535965843327290650,2025.08.08,00:00,2,0,1,0,0
误入藕花深处,58,弹幕好评！#哪吒2,7535837274107202858,2025.08.07,00:00,8,0,0,0,0
南辰sunny,10136,哪吒2虽然在电影院下映了，但是在小区门口上映了 #哪吒之魔童降世 #哪吒 #哪吒在小区上映了,7535456019150851337,2025.08.06,00:00,97,3,0,1,0
青栀（连赞拉黑）,401,#哪吒2#亲情,7535748752465644857,2025.08.07,00:00,19,3,0,4,0
悟空空,9604,#哪吒之魔童闹海 #哪吒2 #左下角看全集,7535845782632418619,2025.08.07,01:45,77,61,3,1,0
影侦探,1658,哪吒2 #一个片段看完一整部电影#名场面#精彩片段持续更新中#国漫崛起,7535450805760019747,2025.08.06,02:29,100,77,8,10,0
丫丫影视,703,#哪吒2#精选好剧分享,7535357338245647667,2025.08.06,02:57,191,157,6,9,0
丫丫影视,703,#哪吒2#精选好剧分享,7535357338245647667,2025.08.06,02:57,191,157,6,9,0
城市猎人、,557,一定要运动吗 吹吹空调看看电影不香嘛 #国产动画 #哪吒2 #动画电影,7535858253348818212,2025.08.07,00:00,2,0,0,0,0
影侦探,1658,哪吒2 #一个片段看完一整部电影#名场面#精彩片段持续更新中#国漫崛起,7535453345415318819,2025.08.06,02:29,111,77,7,14,1
影侦探,1658,哪吒2 #一个片段看完一整部电影#名场面#精彩片段持续更新中#国漫崛起,7535462568740048163,2025.08.06,02:29,64,42,3,6,0
看了个剧,8101,原来哪吒魔童闹海的故事也是那么精彩#哪吒2,7535738781618933035,2025.08.07,00:38,21,21,2,1,0
影侦探,1658,哪吒2 #一个片段看完一整部电影#名场面#精彩片段持续更新中#国漫崛起,7535462859090824488,2025.08.06,02:29,47,35,3,9,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535736996090645775,2025.08.07,02:00,16,17,0,3,0
影侦探,1658,哪吒2 #一个片段看完一整部电影#名场面#精彩片段持续更新中#国漫崛起,7535453840338898176,2025.08.06,02:29,89,58,5,8,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535722937098259746,2025.08.07,02:00,5,4,0,2,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535716579128937743,2025.08.07,02:00,4,2,0,1,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535716579128937743,2025.08.07,02:00,4,2,0,1,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535736996090645775,2025.08.07,02:00,16,17,0,3,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535722937098259746,2025.08.07,02:00,5,4,0,2,0
影侦探,1659,哪吒2 #一个片段看完一整部电影#名场面#精彩片段持续更新中#国漫崛起,7535453840338898176,2025.08.06,02:29,89,58,5,8,0
珊珊,531,哪吒2 #哪吒之魔童闹海  #我在抖音看动画  #我在抖音看电影  #国产动画,7535708337673997608,2025.08.07,02:00,2,4,0,1,0
